chemical	disease1	disease2
62789	32267	701
1505	32267	701
35568	32267	701
2528	32267	701
49370	32267	701
21313	32267	701
62835	32267	701
7870	32267	701
3562	32267	701
29074	32267	701
42527	32267	701
44689	32267	701
19967	28365	701
35568	28365	701
2528	28365	701
32092	28365	701
7870	28365	701
3562	28365	701
29074	28365	701
35568	16103	701
2528	16103	701
62835	16103	701
7870	16103	701
3562	16103	701
29074	16103	701
35568	48975	701
7870	48975	701
42527	48975	701
62789	29699	701
19967	29699	701
35568	29699	701
2528	29699	701
7870	29699	701
3562	29699	701
42527	29699	701
8772	62356	708
30122	62356	708
3562	32267	727
4597	32267	730
8772	32267	739
8772	29889	739
56202	32267	752
30209	32267	752
4153	32267	752
7912	32267	752
27578	32267	763
3562	32267	767
18958	14242	804
18958	41479	804
3562	41479	804
8502	32267	804
18958	32267	804
28676	32267	804
55296	32267	804
3562	32267	804
3562	57452	804
8502	10633	804
46926	10633	804
55296	10633	804
3562	10633	804
58967	10633	804
50824	32267	841
14439	32267	875
3767	32267	875
30122	32267	914
3562	6513	963
8772	7365	963
49767	7365	963
57830	62450	963
3562	62450	963
60327	22030	963
8772	22030	963
30122	22030	963
49767	22030	963
57830	22030	963
34964	22030	963
3562	22030	963
30122	15877	963
57830	15877	963
34964	15877	963
3562	15877	963
25961	32267	973
55590	32267	973
8772	32267	973
41250	32267	973
20445	32267	973
23442	32267	973
59504	32267	973
55590	49334	973
8772	49334	973
23442	49334	973
55590	47443	973
8772	47443	973
55590	55315	973
8772	55315	973
8772	16088	973
8772	17423	973
23442	17423	973
59504	17423	973
20445	26974	973
5991	10729	984
56616	21787	984
3562	8321	988
3562	43130	988
5357	22054	998
3562	36738	1029
3562	42268	1052
14355	42268	1052
11728	37995	1057
50093	37995	1057
11728	33178	1057
50093	33178	1057
10305	33178	1057
19241	33178	1057
25217	32267	1057
11728	32267	1057
50093	32267	1057
10305	32267	1057
19241	32267	1057
3562	35629	1063
46821	35629	1063
45166	45520	1077
1076	40432	1105
35599	32267	1123
28978	32267	1123
24486	32267	1123
7901	32267	1123
50674	32267	1123
48494	32267	1123
3562	32267	1123
28978	9509	1123
7901	9509	1123
50674	9509	1123
3562	9509	1123
7901	15427	1123
3562	15427	1123
27662	7702	1123
28978	7702	1123
24486	7702	1123
50674	7702	1123
48494	7702	1123
3562	7702	1123
27662	3488	1123
28978	3488	1123
7901	3488	1123
50674	3488	1123
48494	3488	1123
3562	3488	1123
30122	62538	1125
30122	32267	1125
54824	32267	1125
54824	55897	1125
2528	41289	1131
20201	8321	1131
58380	8321	1131
49767	8321	1131
26091	8321	1131
2528	8321	1131
58380	62391	1131
2528	62391	1131
30122	36107	1135
3562	36107	1135
27757	35629	1135
10473	35629	1135
58188	35629	1135
10501	35629	1135
30122	35629	1135
30209	35629	1135
3562	35629	1135
20824	35629	1135
50082	35629	1135
14439	36069	1135
45431	36069	1135
27757	36069	1135
10473	36069	1135
58188	36069	1135
58380	36069	1135
38014	36069	1135
17057	36069	1135
18941	36069	1135
10501	36069	1135
19135	36069	1135
40577	36069	1135
45537	36069	1135
30122	36069	1135
30209	36069	1135
3562	36069	1135
5166	36069	1135
49033	36069	1135
20824	36069	1135
50082	36069	1135
30122	52517	1135
10473	54208	1135
30122	54208	1135
3562	54208	1135
19135	25764	1135
30122	25764	1135
3562	25764	1135
34788	42026	1135
29697	42026	1135
20824	42026	1135
50082	42026	1135
10473	8480	1135
19135	8480	1135
30122	8480	1135
50082	8480	1135
3562	27032	1135
5365	32267	1152
5365	20839	1152
55296	25764	1205
35568	36069	1269
52194	62259	1293
35568	62259	1293
61665	62259	1293
3562	62259	1293
35568	33925	1293
23366	60219	1293
31447	36359	1293
48042	36359	1293
3562	36359	1293
24035	10159	1293
3562	10159	1293
3562	17474	1293
41860	13494	1293
61665	13494	1293
5140	6224	1293
3562	24766	1293
35526	20549	1293
61982	20549	1293
24437	20549	1293
3562	41674	1293
58188	29388	1293
3562	29388	1293
61982	44978	1293
61982	9511	1293
35568	9511	1293
3562	12724	1293
13120	12724	1293
31447	23888	1293
50004	23888	1293
55658	23888	1293
61982	23888	1293
20824	23888	1293
3562	23888	1293
24437	23888	1293
13120	23888	1293
52194	50735	1293
3562	50735	1293
35568	1341	1293
41904	53345	1293
35568	53345	1293
54348	14988	1293
3562	14988	1293
3562	31364	1293
24035	60528	1293
33172	60528	1293
58188	43452	1293
5140	26038	1293
35568	26038	1293
61665	26038	1293
625	26038	1293
48924	35240	1293
20824	35240	1293
2778	35240	1293
33390	11878	1293
40724	11243	1293
6567	11243	1293
11107	11243	1293
33390	11243	1293
625	11243	1293
3562	11243	1293
7303	16297	1293
55658	16297	1293
24869	16297	1293
54348	16297	1293
48147	16297	1293
48042	16297	1293
35568	16297	1293
61665	16297	1293
3562	16297	1293
52194	41735	1293
61982	41735	1293
625	41735	1293
3562	41735	1293
13120	41735	1293
9743	54952	1293
57443	54952	1293
25722	54952	1293
58516	54952	1293
35568	54952	1293
3562	54952	1293
24437	54952	1293
13120	54952	1293
52194	36833	1293
61982	36833	1293
20824	36833	1293
3562	36833	1293
3562	60119	1293
3562	41425	1293
61982	22347	1293
3562	22347	1293
55658	52056	1293
10800	52056	1293
52194	52056	1293
35568	52056	1293
61665	52056	1293
3562	52056	1293
50004	27417	1293
31952	27417	1293
62750	27417	1293
12668	27417	1293
61665	27417	1293
3562	27417	1293
32747	26369	1293
58188	26369	1293
32253	26369	1293
35568	26369	1293
61665	26369	1293
33390	26369	1293
3562	26369	1293
35568	16892	1293
30209	22734	1293
15011	22734	1293
3562	22734	1293
14001	34607	1293
35568	34607	1293
3562	34607	1293
50004	28987	1293
31952	28987	1293
61982	28987	1293
24437	28987	1293
13120	28987	1293
33190	47870	1293
49767	47870	1293
7303	7702	1293
26454	7702	1293
32158	7702	1293
31447	7702	1293
50004	7702	1293
24035	7702	1293
23366	7702	1293
58196	7702	1293
39800	7702	1293
55658	7702	1293
24869	7702	1293
59836	7702	1293
62191	7702	1293
31171	7702	1293
35568	7702	1293
61665	7702	1293
3562	7702	1293
14439	58629	1293
3562	58629	1293
58188	20178	1293
11107	20178	1293
2778	20178	1293
3562	20178	1293
24437	20178	1293
13120	20178	1293
55296	18823	1293
57443	18823	1293
24035	18823	1293
58196	18823	1293
63070	18823	1293
61982	18823	1293
20824	18823	1293
3562	18823	1293
24437	18823	1293
13120	18823	1293
52194	38412	1293
61982	38412	1293
3562	38412	1293
31447	40209	1293
24035	40209	1293
6567	40209	1293
19135	40209	1293
1802	40209	1293
48042	40209	1293
35568	40209	1293
61665	40209	1293
26558	40209	1293
625	40209	1293
3562	40209	1293
17057	4833	1293
20824	4833	1293
58380	4833	1293
3562	4833	1293
32158	39156	1293
18723	39156	1293
24035	39156	1293
6567	39156	1293
18529	39156	1293
24869	39156	1293
19135	39156	1293
63070	39156	1293
15011	39156	1293
35568	39156	1293
3562	39156	1293
13120	39156	1293
9743	9399	1293
61982	9399	1293
61665	9399	1293
3562	9399	1293
24437	9399	1293
3562	49022	1293
7878	49022	1293
31447	41038	1293
50004	41038	1293
62191	41038	1293
48042	41038	1293
26558	41038	1293
3562	41038	1293
13120	41038	1293
31447	60287	1293
24035	60287	1293
39800	60287	1293
62191	60287	1293
35568	60287	1293
26558	60287	1293
625	60287	1293
32747	15112	1293
35568	15112	1293
3562	15112	1293
39902	20282	1293
24607	20282	1293
55296	20282	1293
24035	20282	1293
10326	20282	1293
31952	20282	1293
35526	20282	1293
39800	20282	1293
4282	20282	1293
19135	20282	1293
1802	20282	1293
61982	20282	1293
54348	20282	1293
32253	20282	1293
61665	20282	1293
7878	20282	1293
13120	20282	1293
52619	58472	1293
24035	58472	1293
52194	58472	1293
61982	58472	1293
20824	58472	1293
35568	58472	1293
3562	58472	1293
24437	58472	1293
13120	58472	1293
39902	17231	1293
55296	17231	1293
59836	17231	1293
61982	17231	1293
35568	17231	1293
61665	17231	1293
3562	17231	1293
7878	17231	1293
55296	55400	1293
14439	55400	1293
62835	55400	1293
55658	55400	1293
25722	55400	1293
58516	55400	1293
52194	55400	1293
19135	55400	1293
61982	55400	1293
54348	55400	1293
10559	55400	1293
15011	55400	1293
20824	55400	1293
48042	55400	1293
35568	55400	1293
26558	55400	1293
3562	55400	1293
7878	55400	1293
24437	55400	1293
13120	55400	1293
55296	61111	1293
21621	61111	1293
50004	61111	1293
24035	61111	1293
58196	61111	1293
24869	61111	1293
62191	61111	1293
41860	61111	1293
31171	61111	1293
61982	61111	1293
48042	61111	1293
35568	61111	1293
625	61111	1293
3562	61111	1293
7878	61111	1293
13120	61111	1293
7303	40671	1293
31447	40671	1293
24035	40671	1293
32747	40671	1293
62750	40671	1293
55658	40671	1293
15277	40671	1293
11107	40671	1293
48147	40671	1293
2778	40671	1293
35568	40671	1293
33390	40671	1293
625	40671	1293
3562	40671	1293
55296	14336	1293
19135	14336	1293
61665	14336	1293
3562	14336	1293
7878	14336	1293
14439	16083	1293
17057	16083	1293
27757	16083	1293
33190	16083	1293
30209	16083	1293
25722	16083	1293
52194	16083	1293
16138	16083	1293
61982	16083	1293
10559	16083	1293
15011	16083	1293
58380	16083	1293
3562	16083	1293
13120	16083	1293
35526	28751	1293
6567	10829	1293
33687	10829	1293
48042	10829	1293
61665	10829	1293
26558	10829	1293
33390	10829	1293
3562	42423	1293
53455	59089	1293
15277	59089	1293
8058	59089	1293
52194	59089	1293
1802	59089	1293
2778	59089	1293
35568	59089	1293
61665	59089	1293
33390	59089	1293
3562	59089	1293
24437	59089	1293
13120	59089	1293
39902	59745	1293
24607	59745	1293
55296	59745	1293
24035	59745	1293
23366	59745	1293
10800	59745	1293
52194	59745	1293
19135	59745	1293
1802	59745	1293
61982	59745	1293
2778	59745	1293
35568	59745	1293
3562	59745	1293
13120	59745	1293
3562	21722	1293
55658	6041	1293
62191	6041	1293
41860	6041	1293
10800	6041	1293
52194	6041	1293
33878	6041	1293
1802	6041	1293
35568	6041	1293
61665	6041	1293
33390	6041	1293
3562	6041	1293
39902	39223	1293
24607	39223	1293
55296	39223	1293
57443	39223	1293
41860	39223	1293
52568	39223	1293
19135	39223	1293
18310	39223	1293
35568	39223	1293
33390	39223	1293
625	39223	1293
3562	39223	1293
14439	28868	1293
30209	28868	1293
16138	28868	1293
10559	28868	1293
35568	28868	1293
58380	28868	1293
3562	28868	1293
52619	17423	1293
30209	17423	1293
16138	17423	1293
10559	17423	1293
35568	17423	1293
58380	17423	1293
3562	17423	1293
24437	17423	1293
18723	5543	1293
27757	5543	1293
3804	5543	1293
58380	5543	1293
3562	5543	1293
7303	58402	1293
32747	58402	1293
58196	58402	1293
55658	58402	1293
24869	58402	1293
41860	58402	1293
41742	58402	1293
19135	58402	1293
1802	58402	1293
35568	58402	1293
61665	58402	1293
33390	58402	1293
3562	58402	1293
24035	33587	1293
31952	33587	1293
62750	33587	1293
12668	33587	1293
41860	33587	1293
19135	33587	1293
5140	33587	1293
32253	33587	1293
2778	33587	1293
48042	33587	1293
61665	33587	1293
33390	33587	1293
625	33587	1293
3562	33587	1293
24437	33587	1293
13120	33587	1293
7303	8321	1293
42397	8321	1293
8008	8321	1293
37110	8321	1293
32158	8321	1293
44466	8321	1293
31447	8321	1293
14439	8321	1293
50864	8321	1293
50004	8321	1293
41904	8321	1293
57443	8321	1293
32846	8321	1293
24035	8321	1293
23366	8321	1293
18256	8321	1293
36029	8321	1293
39839	8321	1293
39800	8321	1293
62750	8321	1293
55658	8321	1293
17057	8321	1293
58188	8321	1293
18529	8321	1293
27757	8321	1293
53455	8321	1293
24869	8321	1293
59836	8321	1293
30209	8321	1293
41860	8321	1293
8058	8321	1293
60202	8321	1293
25722	8321	1293
52194	8321	1293
19135	8321	1293
63070	8321	1293
16138	8321	1293
61982	8321	1293
54348	8321	1293
10559	8321	1293
15011	8321	1293
32253	8321	1293
20824	8321	1293
53491	8321	1293
49767	8321	1293
48042	8321	1293
35568	8321	1293
61665	8321	1293
58380	8321	1293
50093	8321	1293
33390	8321	1293
625	8321	1293
3562	8321	1293
7878	8321	1293
13120	8321	1293
8008	28365	1293
14439	28365	1293
28773	28365	1293
16138	28365	1293
35568	28365	1293
58380	28365	1293
50093	28365	1293
3562	28365	1293
13120	28365	1293
39902	10633	1293
55296	10633	1293
58196	10633	1293
41860	10633	1293
19135	10633	1293
11107	10633	1293
61982	10633	1293
54348	10633	1293
35568	10633	1293
61665	10633	1293
3562	10633	1293
7878	10633	1293
13120	10633	1293
62191	51028	1293
32253	51028	1293
48042	51028	1293
35568	51028	1293
61665	51028	1293
3562	51028	1293
8772	32267	1309
30122	32267	1322
45462	32267	1325
35568	49989	1341
35568	1293	1341
52408	20905	1346
3562	8321	1383
3562	3676	1383
41595	22354	1408
41076	58848	1418
32743	58848	1418
42238	58848	1418
21730	24788	1451
60018	24788	1451
8866	24788	1451
60975	24788	1451
60975	2858	1451
53455	59089	1461
61665	59089	1461
2778	59089	1461
1802	59089	1461
35568	59089	1461
3562	59089	1461
53455	42738	1461
61665	42738	1461
2778	42738	1461
18958	42738	1461
58188	42738	1461
35568	42738	1461
3562	42738	1461
10800	42738	1461
53455	2499	1461
61665	2499	1461
15237	2499	1461
2778	2499	1461
18958	2499	1461
58188	2499	1461
1802	2499	1461
56974	2499	1461
3562	2499	1461
10800	2499	1461
61665	4454	1461
61665	44260	1461
2778	44260	1461
18958	44260	1461
58188	44260	1461
61665	39422	1461
2778	39422	1461
58188	39422	1461
35568	39422	1461
3562	39422	1461
61665	54603	1461
42318	12331	1470
38137	12331	1470
4318	12331	1470
20800	12331	1470
55365	12331	1470
3562	12331	1470
17869	12331	1470
4339	12331	1470
33687	12331	1470
55365	47555	1470
4318	17772	1470
20800	17772	1470
55365	17772	1470
17869	17772	1470
20800	26050	1470
55365	26050	1470
3562	26050	1470
17869	26050	1470
4339	26050	1470
20800	48097	1470
55365	48097	1470
3562	48097	1470
17869	48097	1470
33687	48097	1470
55365	42236	1470
3562	42236	1470
17869	42236	1470
20800	9626	1470
42318	19719	1470
55365	19719	1470
3562	19719	1470
17869	19719	1470
42318	51496	1470
38137	51496	1470
4318	51496	1470
20800	51496	1470
33687	51496	1470
55365	19384	1470
3562	61111	1470
3562	54744	1470
55365	37585	1470
3562	37585	1470
37719	44209	1497
59775	23060	1498
1650	23060	1498
59775	32267	1498
9486	32267	1498
55399	32267	1498
1650	32267	1498
18790	45099	1511
7665	45099	1511
9178	45099	1511
2528	8439	1515
2528	36069	1515
3562	36069	1515
52194	36069	1515
14051	36069	1515
61524	32267	1515
2528	32267	1515
35348	32267	1515
3562	32267	1515
52194	32267	1515
14051	32267	1515
3562	2695	1515
52194	2695	1515
3562	5207	1515
14051	5207	1515
24035	44849	1529
58600	44849	1529
35410	44849	1529
13120	24828	1560
45526	58034	1568
49113	58034	1568
8772	58034	1568
55670	58034	1568
8772	39387	1568
14439	39387	1568
3562	39387	1568
8772	32903	1568
3562	32903	1568
8772	24834	1568
31738	24834	1568
8772	26955	1568
3562	26955	1568
8772	36069	1568
2528	36069	1568
55670	36069	1568
14439	36069	1568
3562	36069	1568
12215	36069	1568
3562	21089	1581
35568	21089	1581
3562	11908	1581
3562	61111	1581
19052	61111	1581
35568	61111	1581
33390	58402	1593
35568	58402	1593
38812	58402	1593
1723	58402	1593
3562	58402	1593
33390	8321	1593
58188	8321	1593
2528	8321	1593
24035	8321	1593
26660	8321	1593
35568	8321	1593
37698	8321	1593
13048	8321	1593
3562	8321	1593
24035	26238	1593
3562	26238	1593
33390	50632	1593
58188	50632	1593
38312	50632	1593
43918	50632	1593
8772	50632	1593
35568	50632	1593
37698	50632	1593
3562	50632	1593
33390	56644	1593
38312	56644	1593
2528	56644	1593
51231	56644	1593
8772	56644	1593
35568	56644	1593
38812	56644	1593
1723	56644	1593
37698	56644	1593
3562	56644	1593
2528	39156	1593
24035	39156	1593
35568	39156	1593
3562	39156	1593
1723	53730	1593
58188	43452	1593
33390	15771	1593
3562	15771	1593
35568	60357	1593
30209	32267	1594
16138	36069	1624
27733	36069	1624
30122	36069	1624
35568	36069	1624
16138	8321	1624
27733	8321	1624
30122	8321	1624
35568	8321	1624
15033	32267	1655
55358	32267	1680
31540	32267	1707
50702	14011	1710
50702	37097	1710
62365	32267	1710
50702	32267	1710
57241	32267	1710
45969	32267	1710
50702	53587	1710
57241	21089	1710
45969	21089	1710
55295	19718	1712
110	55315	1713
8772	32267	1725
8772	32267	1727
8772	39387	1727
25565	44322	1740
3562	44322	1740
42717	39897	1764
47529	39897	1764
5357	39897	1764
45648	39897	1764
8008	39897	1764
51102	39897	1764
10716	39897	1764
5190	39897	1764
30302	39897	1764
8008	41389	1764
10716	41389	1764
39002	41389	1764
8772	41389	1764
51102	33934	1764
30302	33934	1764
5357	7095	1764
10716	7095	1764
1650	7095	1764
30302	7095	1764
8772	7095	1764
3562	32267	1769
3562	32529	1778
23616	32267	1812
3357	32267	1812
31421	32267	1812
19953	32267	1812
60223	32267	1812
3562	49764	1837
35568	49764	1837
50173	32267	1840
44639	28738	1845
56616	28738	1845
56616	41973	1845
22232	41973	1845
58011	5755	1845
48697	5755	1845
28877	5755	1845
32044	5755	1845
4735	5755	1845
22232	5755	1845
38124	56896	1845
56616	56896	1845
11150	56896	1845
18081	32267	1858
5044	32267	1858
58977	56430	1862
22114	61031	1864
47582	11896	1864
22232	5755	1864
57244	5755	1864
30100	5755	1864
21617	62356	1864
47582	62356	1864
22114	62356	1864
57244	62356	1864
45179	62356	1864
10559	62356	1864
30100	62356	1864
60805	9907	1898
30868	9907	1898
10122	9907	1898
33510	9907	1898
3562	9907	1898
29226	9907	1898
11728	9907	1898
60805	62356	1898
30868	62356	1898
10122	62356	1898
46451	62356	1898
33510	62356	1898
11728	62356	1898
10122	16875	1898
46451	16875	1898
3562	16875	1898
29226	16875	1898
11728	16875	1898
60805	32267	1898
38008	32267	1898
30868	32267	1898
10122	32267	1898
46451	32267	1898
33510	32267	1898
3562	32267	1898
29226	32267	1898
11728	32267	1898
3562	11228	1898
30122	48178	1910
8772	54208	1930
8772	44813	1930
25604	32267	1930
8772	32267	1930
46557	32267	1930
18537	32267	1930
53458	32267	1930
10716	32267	1930
30868	32267	1932
30222	32267	1932
10473	32267	1932
8772	32267	1932
24486	32267	1932
30122	32267	1932
35560	3429	1935
28010	59693	1966
1506	5814	1972
3562	57992	1981
3562	32267	1981
3562	32267	2039
49063	55315	2046
49539	9822	2079
39042	9822	2079
1802	46487	2079
30122	46487	2079
39042	46487	2079
3562	8321	2079
24486	8321	2079
30122	8321	2079
49539	14833	2079
9408	14833	2079
2384	14833	2079
39042	14833	2079
56579	14833	2079
54309	14833	2079
3562	22427	2079
30122	22427	2079
45513	22427	2079
24486	11965	2079
2384	11965	2079
39042	11965	2079
3562	36069	2079
24486	36069	2079
30122	36069	2079
27833	36069	2079
56579	36069	2079
8772	303	2085
41003	303	2085
30222	303	2085
59374	303	2085
38162	303	2085
8772	12725	2085
59374	12725	2085
15078	12725	2085
8772	50138	2085
10559	50138	2085
19363	50138	2085
8772	48551	2085
56632	48551	2085
41003	48551	2085
30222	48551	2085
11078	48551	2085
59374	48551	2085
15078	48551	2085
38162	48551	2085
26975	48551	2085
8772	59482	2085
26975	59482	2085
3106	39193	2087
3106	18883	2087
3562	55400	2087
3106	55400	2087
3562	21266	2087
31866	16083	2095
